# Hietzing Instance ID Mapping
# Original ID (from random01.conf) -> New ID (used in experiment results)
# Instance: PeriodicHHC_Hietzing_P3_Cl39_C11_ur0.2_42.txt
#==================================================

Original_ID	New_ID
4	1
20	2
55	3
77	4
84	5
94	6
106	7
117	8
138	9
146	10
150	11
152	12
156	13
160	14
162	15
166	16
174	17
188	18
194	19
206	20
208	21
210	22
212	23
231	24
244	25
264	26
293	27
312	28
316	29
323	30
330	31
348	32
357	33
359	34
366	35
375	36
412	37
414	38
417	39

# Reverse mapping (New_ID -> Original_ID)
New_ID	Original_ID
1	4
2	20
3	55
4	77
5	84
6	94
7	106
8	117
9	138
10	146
11	150
12	152
13	156
14	160
15	162
16	166
17	174
18	188
19	194
20	206
21	208
22	210
23	212
24	231
25	244
26	264
27	293
28	312
29	316
30	323
31	330
32	348
33	357
34	359
35	366
36	375
37	412
38	414
39	417
