# Kaiser-Franz-Josef Instance ID Mapping
# Original ID (from random01.conf) -> New ID (used in experiment results)
# Instance: PeriodicHHC_Kaiser_Franz_Josef_P3_Cl37_C10_ur0.2_3147.txt
#==================================================

Original_ID	New_ID
2	1
6	2
9	3
28	4
46	5
67	6
68	7
79	8
102	9
131	10
172	11
176	12
190	13
217	14
227	15
237	16
239	17
248	18
252	19
275	20
283	21
285	22
289	23
294	24
297	25
301	26
305	27
318	28
322	29
324	30
328	31
363	32
368	33
389	34
391	35
402	36
408	37

# Reverse mapping (New_ID -> Original_ID)
New_ID	Original_ID
1	2
2	6
3	9
4	28
5	46
6	67
7	68
8	79
9	102
10	131
11	172
12	176
13	190
14	217
15	227
16	237
17	239
18	248
19	252
20	275
21	283
22	285
23	289
24	294
25	297
26	301
27	305
28	318
29	322
30	324
31	328
32	363
33	368
34	389
35	391
36	402
37	408
