# Hospital: Donauspital (SMZ Ost)
# Generated: 2026-01-08 18:43:32
# Customers: 21, Caregivers: 10

# Caregiver Parameters
Daily_Working_Time     : 480
Max_Overtime           : 120
Max_Working_Time       : 2160
Max_Working_Days       : 4
Service_Caregiver_Num  : 4
Capacity               : 200
Speed                  : 0.5
continuity_benefit     : 15
Benefit_Rate(qua+2)    : 3
Unknown_Rate           : 0.1

# Caregiver-Customer Benefit Matrix
      6.00       INF       INF       INF       INF       INF
      9.00     12.00       INF       INF       INF       INF
     12.00     15.00     18.00       INF       INF       INF
     15.00     18.00     21.00     24.00       INF       INF
       INF       INF     24.00     27.00     30.00       INF
       INF       INF     27.00     30.00     33.00     36.00

# Caregiver Individual Info
ID	Qual_Level	Initial_Cost	Overtime_Cost
0	5	200.00	40.84
1	5	200.00	37.15
2	4	180.00	32.65
3	4	180.00	32.34
4	3	160.00	31.42
5	3	160.00	31.06
6	2	140.00	30.35
7	3	160.00	27.52
8	3	160.00	29.53
9	3	160.00	27.18

# Requests Info
ID	X	Y	Qual	Dur	Dem	E_hard	E_soft	L_soft	L_hard	Type
depot:	16.45	48.24
Day 0:
# Requirements num: 12 (Preorder: 10, Stochastic: 2)
34  	   16.40	   48.24	   1	  7	 12	  199.00	  209.00	  289.00	  299.00	PREORDER
38  	   16.43	   48.21	   2	  6	 12	  258.58	  268.58	  348.58	  358.58	PREORDER
74  	   16.44	   48.20	   4	 15	 15	  333.99	  343.99	  423.99	  433.99	PREORDER
83  	   16.44	   48.24	   1	  9	 13	  179.83	  189.83	  269.83	  279.83	PREORDER
158 	   16.45	   48.24	   5	  9	 13	  111.11	  121.11	  201.11	  211.11	STOCHASTIC
229 	   16.42	   48.22	   1	  5	 11	  262.03	  272.03	  352.03	  362.03	STOCHASTIC
258 	   16.43	   48.24	   1	 10	 13	  183.36	  193.36	  273.36	  283.36	PREORDER
269 	   16.44	   48.21	   4	 10	 13	  329.55	  339.55	  419.55	  429.55	PREORDER
270 	   16.42	   48.25	   1	 10	 13	  191.94	  201.94	  281.94	  291.94	PREORDER
355 	   16.44	   48.25	   1	  3	 11	  116.65	  126.65	  206.65	  216.65	PREORDER
377 	   16.44	   48.22	   1	 10	 13	  325.89	  335.89	  415.89	  425.89	PREORDER
396 	   16.45	   48.25	   1	 10	 13	  114.53	  124.53	  204.53	  214.53	PREORDER

Day 1:
# Requirements num: 12 (Preorder: 10, Stochastic: 2)
24  	   16.44	   48.22	   2	 18	 16	  323.53	  333.53	  413.53	  423.53	PREORDER
34  	   16.40	   48.24	   1	  8	 12	  199.00	  209.00	  289.00	  299.00	PREORDER
158 	   16.45	   48.24	   1	  4	 11	  111.11	  121.11	  201.11	  211.11	PREORDER
193 	   16.42	   48.23	   4	 14	 14	  259.10	  269.10	  349.10	  359.10	PREORDER
209 	   16.45	   48.25	   1	  3	 11	  112.66	  122.66	  202.66	  212.66	PREORDER
258 	   16.43	   48.24	   4	  8	 12	  183.36	  193.36	  273.36	  283.36	PREORDER
260 	   16.43	   48.26	   1	 13	 14	  189.63	  199.63	  279.63	  289.63	STOCHASTIC
270 	   16.42	   48.25	   1	 12	 14	  191.94	  201.94	  281.94	  291.94	PREORDER
350 	   16.45	   48.20	   1	  5	 11	  335.19	  345.19	  425.19	  435.19	PREORDER
377 	   16.44	   48.22	   1	 10	 13	  325.89	  335.89	  415.89	  425.89	PREORDER
397 	   16.43	   48.26	   1	 15	 15	  119.40	  129.40	  209.40	  219.40	PREORDER
404 	   16.40	   48.24	   4	 14	 14	  196.70	  206.70	  286.70	  296.70	STOCHASTIC

Day 2:
# Requirements num: 12 (Preorder: 10, Stochastic: 2)
24  	   16.44	   48.22	   4	  6	 12	  323.53	  333.53	  413.53	  423.53	PREORDER
38  	   16.43	   48.21	   2	  6	 12	  258.58	  268.58	  348.58	  358.58	PREORDER
57  	   16.42	   48.23	   1	 16	 15	  259.58	  269.58	  349.58	  359.58	PREORDER
74  	   16.44	   48.20	   1	 30	 20	  333.99	  343.99	  423.99	  433.99	PREORDER
83  	   16.44	   48.24	   1	  9	 13	  179.83	  189.83	  269.83	  279.83	STOCHASTIC
158 	   16.45	   48.24	   1	  9	 13	  111.11	  121.11	  201.11	  211.11	PREORDER
180 	   16.40	   48.24	   1	 21	 17	  195.80	  205.80	  285.80	  295.80	PREORDER
193 	   16.42	   48.23	   1	 20	 16	  259.10	  269.10	  349.10	  359.10	PREORDER
269 	   16.44	   48.21	   1	 10	 13	  329.55	  339.55	  419.55	  429.55	PREORDER
355 	   16.44	   48.25	   1	  3	 11	  116.65	  126.65	  206.65	  216.65	PREORDER
377 	   16.44	   48.22	   1	 10	 13	  325.89	  335.89	  415.89	  425.89	STOCHASTIC
396 	   16.45	   48.25	   1	 10	 13	  114.53	  124.53	  204.53	  214.53	PREORDER

