# Hospital: Krankenhaus Nord - Klinik Floridsdorf
# Generated: 2026-01-07 22:52:23
# Customers: 22, Caregivers: 10

# Caregiver Parameters
Daily_Working_Time     : 480
Max_Overtime           : 120
Max_Working_Time       : 2160
Max_Working_Days       : 4
Service_Caregiver_Num  : 4
Capacity               : 200
Speed                  : 0.5
continuity_benefit     : 15
Benefit_Rate(qua+2)    : 3
Unknown_Rate           : 0.1

# Caregiver-Customer Benefit Matrix
      6.00       INF       INF       INF       INF       INF
      9.00     12.00       INF       INF       INF       INF
     12.00     15.00     18.00       INF       INF       INF
     15.00     18.00     21.00     24.00       INF       INF
       INF       INF     24.00     27.00     30.00       INF
       INF       INF     27.00     30.00     33.00     36.00

# Caregiver Individual Info
ID	Qual_Level	Initial_Cost	Overtime_Cost
0	5	200.00	40.84
1	5	200.00	37.15
2	4	180.00	32.65
3	4	180.00	32.34
4	3	160.00	31.42
5	3	160.00	31.06
6	2	140.00	30.35
7	3	160.00	27.52
8	3	160.00	29.53
9	3	160.00	27.18

# Requests Info
ID	X	Y	Qual	Dur	Dem	E_hard	E_soft	L_soft	L_hard	Type
depot:	16.40	48.28
Day 0:
# Requirements num: 16 (Preorder: 14, Stochastic: 2)
60  	   16.41	   48.26	   1	 20	 16	  392.61	  401.35	  471.26	  480.00	PREORDER
64  	   16.42	   48.26	   1	  8	 12	  394.54	  403.08	  471.45	  480.00	PREORDER
104 	   16.36	   48.27	   1	 16	 15	  258.38	  268.38	  348.38	  358.38	PREORDER
110 	   16.37	   48.27	   4	 20	 16	  255.76	  265.76	  345.76	  355.76	PREORDER
113 	   16.39	   48.25	   4	  8	 12	  325.88	  335.88	  415.88	  425.88	PREORDER
129 	   16.39	   48.26	   2	 14	 14	  321.62	  331.62	  411.62	  421.62	PREORDER
130 	   16.40	   48.27	   1	 11	 13	  389.63	  398.67	  470.96	  480.00	PREORDER
140 	   16.31	   48.28	   1	  3	 11	  269.00	  279.00	  359.00	  369.00	PREORDER
154 	   16.43	   48.28	   3	  4	 11	   60.00	   68.63	  137.71	  146.34	PREORDER
182 	   16.43	   48.27	   1	 10	 13	  395.77	  404.20	  471.58	  480.00	PREORDER
196 	   16.39	   48.26	   1	 13	 14	  323.43	  333.43	  413.43	  423.43	PREORDER
281 	   16.39	   48.27	   1	  6	 12	  252.12	  262.12	  342.12	  352.12	PREORDER
299 	   16.32	   48.27	   4	 16	 15	  267.71	  277.71	  357.71	  367.71	STOCHASTIC
326 	   16.36	   48.27	   4	 13	 14	  256.95	  266.95	  346.95	  356.95	STOCHASTIC
351 	   16.42	   48.27	   4	 20	 16	  392.98	  401.69	  471.30	  480.00	PREORDER
353 	   16.37	   48.26	   5	  7	 12	  256.64	  266.64	  346.64	  356.64	PREORDER

Day 1:
# Requirements num: 16 (Preorder: 14, Stochastic: 2)
40  	   16.37	   48.26	   1	  5	 11	  254.75	  264.75	  344.75	  354.75	PREORDER
60  	   16.41	   48.26	   1	 14	 14	  392.61	  401.35	  471.26	  480.00	PREORDER
64  	   16.42	   48.26	   1	 13	 14	  394.54	  403.08	  471.45	  480.00	PREORDER
98  	   16.40	   48.28	   4	  9	 13	  389.06	  398.16	  470.91	  480.00	PREORDER
104 	   16.36	   48.27	   1	 13	 14	  258.38	  268.38	  348.38	  358.38	STOCHASTIC
110 	   16.37	   48.27	   4	 20	 16	  255.76	  265.76	  345.76	  355.76	PREORDER
121 	   16.33	   48.27	   1	  3	 11	  263.83	  273.83	  353.83	  363.83	PREORDER
129 	   16.39	   48.26	   1	 15	 15	  321.62	  331.62	  411.62	  421.62	PREORDER
140 	   16.31	   48.28	   1	  3	 11	  269.00	  279.00	  359.00	  369.00	PREORDER
182 	   16.43	   48.27	   1	 10	 13	  395.77	  404.20	  471.58	  480.00	STOCHASTIC
266 	   16.37	   48.26	   1	  7	 12	  255.48	  265.48	  345.48	  355.48	PREORDER
299 	   16.32	   48.27	   1	 16	 15	  267.71	  277.71	  357.71	  367.71	PREORDER
326 	   16.36	   48.27	   1	 15	 15	  256.95	  266.95	  346.95	  356.95	PREORDER
353 	   16.37	   48.26	   1	  7	 12	  256.64	  266.64	  346.64	  356.64	PREORDER
383 	   16.39	   48.26	   1	 12	 14	  322.66	  332.66	  412.66	  422.66	PREORDER
387 	   16.38	   48.26	   1	  3	 11	  254.57	  264.57	  344.57	  354.57	PREORDER

Day 2:
# Requirements num: 16 (Preorder: 14, Stochastic: 2)
40  	   16.37	   48.26	   1	  5	 11	  254.75	  264.75	  344.75	  354.75	PREORDER
60  	   16.41	   48.26	   1	 14	 14	  392.61	  401.35	  471.26	  480.00	PREORDER
64  	   16.42	   48.26	   1	 13	 14	  394.54	  403.08	  471.45	  480.00	PREORDER
113 	   16.39	   48.25	   1	  8	 12	  325.88	  335.88	  415.88	  425.88	PREORDER
129 	   16.39	   48.26	   2	 14	 14	  321.62	  331.62	  411.62	  421.62	STOCHASTIC
130 	   16.40	   48.27	   1	 11	 13	  389.63	  398.67	  470.96	  480.00	PREORDER
140 	   16.31	   48.28	   4	  9	 13	  269.00	  279.00	  359.00	  369.00	STOCHASTIC
154 	   16.43	   48.28	   3	  4	 11	   60.00	   68.63	  137.71	  146.34	PREORDER
196 	   16.39	   48.26	   1	 13	 14	  323.43	  333.43	  413.43	  423.43	PREORDER
266 	   16.37	   48.26	   1	  7	 12	  255.48	  265.48	  345.48	  355.48	PREORDER
281 	   16.39	   48.27	   1	  6	 12	  252.12	  262.12	  342.12	  352.12	PREORDER
299 	   16.32	   48.27	   1	 14	 14	  267.71	  277.71	  357.71	  367.71	PREORDER
326 	   16.36	   48.27	   1	 15	 15	  256.95	  266.95	  346.95	  356.95	PREORDER
351 	   16.42	   48.27	   2	 20	 16	  392.98	  401.69	  471.30	  480.00	PREORDER
