# Hospital: Krankenhaus Hietzing
# Generated: 2026-01-03 08:59:45
# Customers: 39, Caregivers: 11

# Caregiver Parameters
Daily_Working_Time     : 480
Max_Overtime           : 120
Max_Working_Time       : 2160
Max_Working_Days       : 4
Service_Caregiver_Num  : 4
Capacity               : 200
Speed                  : 0.5
continuity_benefit     : 15
Benefit_Rate(qua+2)    : 3
Unknown_Rate           : 0.2

# Caregiver-Customer Benefit Matrix
      6.00       INF       INF       INF       INF       INF
      9.00     12.00       INF       INF       INF       INF
     12.00     15.00     18.00       INF       INF       INF
     15.00     18.00     21.00     24.00       INF       INF
       INF       INF     24.00     27.00     30.00       INF
       INF       INF     27.00     30.00     33.00     36.00

# Caregiver Individual Info
ID	Qual_Level	Initial_Cost	Overtime_Cost
0	5	200.00	40.84
1	5	200.00	37.15
2	4	180.00	32.65
3	4	180.00	32.34
4	4	180.00	35.42
5	4	180.00	35.06
6	3	160.00	32.35
7	3	160.00	27.52
8	2	140.00	27.53
9	3	160.00	27.18
10	3	160.00	28.31

# Requests Info
ID	X	Y	Qual	Dur	Dem	E_hard	E_soft	L_soft	L_hard	Type
depot:	16.29	48.18
Day 0:
# Requirements num: 25 (Preorder: 21, Stochastic: 4)
4   	   16.26	   48.17	   1	  5	 11	  262.93	  272.93	  352.93	  362.93	PREORDER
20  	   16.31	   48.18	   4	  3	 11	   60.00	   69.05	  141.41	  150.46	PREORDER
55  	   16.26	   48.19	   1	 14	 14	  193.38	  203.38	  283.38	  293.38	PREORDER
77  	   16.27	   48.16	   4	 15	 15	  260.83	  270.83	  350.83	  360.83	PREORDER
84  	   16.32	   48.18	   1	 23	 17	  401.26	  409.13	  472.13	  480.00	PREORDER
94  	   16.28	   48.19	   4	 16	 15	  116.70	  126.70	  206.70	  216.70	PREORDER
138 	   16.26	   48.18	   4	 19	 16	  192.41	  202.41	  282.41	  292.41	PREORDER
146 	   16.28	   48.18	   1	  6	 12	  111.75	  121.75	  201.75	  211.75	STOCHASTIC
150 	   16.32	   48.16	   1	 15	 15	  406.93	  414.23	  472.69	  480.00	PREORDER
152 	   16.26	   48.18	   1	 12	 14	  188.80	  198.80	  278.80	  288.80	PREORDER
156 	   16.28	   48.20	   1	  5	 11	  119.62	  129.62	  209.62	  219.62	PREORDER
166 	   16.26	   48.19	   2	 10	 13	  192.85	  202.85	  282.85	  292.85	PREORDER
174 	   16.26	   48.18	   1	 17	 15	  190.94	  200.94	  280.94	  290.94	PREORDER
194 	   16.31	   48.19	   1	 13	 14	   60.00	   68.99	  140.91	  149.90	PREORDER
206 	   16.29	   48.17	   1	 12	 14	  322.29	  332.29	  412.29	  422.29	PREORDER
210 	   16.31	   48.17	   3	  3	 11	  399.83	  407.85	  471.98	  480.00	PREORDER
212 	   16.31	   48.18	   1	 14	 14	   60.00	   68.95	  140.57	  149.53	PREORDER
231 	   16.26	   48.20	   4	  3	 11	  192.93	  202.93	  282.93	  292.93	PREORDER
244 	   16.32	   48.16	   4	  6	 12	  407.12	  414.41	  472.71	  480.00	PREORDER
