# Hospital: Kaiser-Franz-Josef-Spital
# Generated: 2026-01-05 14:10:22
# Customers: 37, Caregivers: 10

# Caregiver Parameters
Daily_Working_Time     : 480
Max_Overtime           : 120
Max_Working_Time       : 2160
Max_Working_Days       : 4
Service_Caregiver_Num  : 4
Capacity               : 200
Speed                  : 0.5
continuity_benefit     : 15
Benefit_Rate(qua+2)    : 3
Unknown_Rate           : 0.2

# Caregiver-Customer Benefit Matrix
      6.00       INF       INF       INF       INF       INF
      9.00     12.00       INF       INF       INF       INF
     12.00     15.00     18.00       INF       INF       INF
     15.00     18.00     21.00     24.00       INF       INF
       INF       INF     24.00     27.00     30.00       INF
       INF       INF     27.00     30.00     33.00     36.00

# Caregiver Individual Info
ID	Qual_Level	Initial_Cost	Overtime_Cost
0	5	200.00	40.69
1	4	180.00	35.03
2	4	180.00	34.76
3	2	140.00	27.79
4	3	160.00	30.76
5	1	120.00	27.26
6	3	160.00	30.76
7	3	160.00	32.44
8	2	140.00	26.94
9	3	160.00	28.02

# Requests Info
ID	X	Y	Qual	Dur	Dem	E_hard	E_soft	L_soft	L_hard	Type
depot:	16.38	48.17
Day 0:
# Requirements num: 21 (Preorder: 16, Stochastic: 5)
2   	   16.34	   48.17	   1	 18	 16	  187.93	  197.93	  277.93	  287.93	PREORDER
6   	   16.37	   48.19	   1	 14	 14	  113.53	  123.53	  203.53	  213.53	PREORDER
9   	   16.44	   48.17	   1	 13	 14	  406.73	  414.05	  472.67	  480.00	STOCHASTIC
28  	   16.42	   48.16	   1	 14	 14	  402.12	  409.91	  472.21	  480.00	STOCHASTIC
46  	   16.45	   48.16	   1	 18	 16	  409.00	  416.10	  472.90	  480.00	PREORDER
68  	   16.35	   48.17	   1	  8	 12	  254.16	  264.16	  344.16	  354.16	PREORDER
227 	   16.37	   48.19	   1	  6	 12	  113.35	  123.35	  203.35	  213.35	PREORDER
237 	   16.36	   48.17	   1	  8	 12	  252.14	  262.14	  342.14	  352.14	PREORDER
239 	   16.33	   48.15	   4	 13	 14	  261.98	  271.98	  351.98	  361.98	PREORDER
248 	   16.40	   48.19	   1	  3	 11	   60.00	   68.74	  138.70	  147.44	PREORDER
252 	   16.34	   48.16	   2	 11	 13	  257.51	  267.51	  347.51	  357.51	PREORDER
275 	   16.38	   48.18	   3	  4	 11	   60.00	   68.00	  132.01	  140.01	PREORDER
283 	   16.41	   48.17	   1	 21	 17	  397.53	  405.78	  471.75	  480.00	PREORDER
289 	   16.36	   48.19	   1	 20	 16	  183.98	  193.98	  273.98	  283.98	PREORDER
297 	   16.40	   48.16	   1	 12	 14	  395.60	  404.04	  471.56	  480.00	STOCHASTIC
301 	   16.39	   48.17	   1	 14	 14	  391.61	  400.45	  471.16	  480.00	PREORDER
