# Hospital: Rudolfstiftung
# Generated: 2026-01-09 23:18:33
# Customers: 26, Caregivers: 10

# Caregiver Parameters
Daily_Working_Time     : 480
Max_Overtime           : 120
Max_Working_Time       : 2160
Max_Working_Days       : 4
Service_Caregiver_Num  : 4
Capacity               : 200
Speed                  : 0.5
continuity_benefit     : 15
Benefit_Rate(qua+2)    : 3
Unknown_Rate           : 0.1

# Caregiver-Customer Benefit Matrix
      6.00       INF       INF       INF       INF       INF
      9.00     12.00       INF       INF       INF       INF
     12.00     15.00     18.00       INF       INF       INF
     15.00     18.00     21.00     24.00       INF       INF
       INF       INF     24.00     27.00     30.00       INF
       INF       INF     27.00     30.00     33.00     36.00

# Caregiver Individual Info
ID	Qual_Level	Initial_Cost	Overtime_Cost
0	5	200.00	40.69
1	5	200.00	41.03
2	4	180.00	34.76
3	4	180.00	33.79
4	2	140.00	28.76
5	3	160.00	32.26
6	1	120.00	25.76
7	3	160.00	32.44
8	3	160.00	28.94
9	2	140.00	26.02

# Requests Info
ID	X	Y	Qual	Dur	Dem	E_hard	E_soft	L_soft	L_hard	Type
depot:	16.39	48.21
Day 0:
# Requirements num: 16 (Preorder: 14, Stochastic: 2)
13  	   16.38	   48.20	   1	 13	 14	  252.91	  262.91	  342.91	  352.91	PREORDER
16  	   16.37	   48.19	   2	 16	 15	  256.49	  266.49	  346.49	  356.49	PREORDER
22  	   16.43	   48.20	   1	 15	 15	  402.89	  410.60	  472.29	  480.00	PREORDER
53  	   16.39	   48.24	   1	 14	 14	  118.88	  128.88	  208.88	  218.88	PREORDER
73  	   16.39	   48.20	   1	 17	 15	  391.12	  400.00	  471.11	  480.00	PREORDER
92  	   16.39	   48.24	   1	  3	 11	  120.06	  130.06	  210.06	  220.06	STOCHASTIC
96  	   16.43	   48.20	   5	 17	 15	  404.52	  412.07	  472.45	  480.00	PREORDER
134 	   16.43	   48.19	   1	  4	 11	  404.31	  411.88	  472.43	  480.00	STOCHASTIC
186 	   16.39	   48.23	   1	 12	 14	  116.88	  126.88	  206.88	  216.88	PREORDER
219 	   16.44	   48.19	   1	 15	 15	  409.00	  416.10	  472.90	  480.00	PREORDER
221 	   16.40	   48.23	   1	  9	 13	  117.23	  127.23	  207.23	  217.23	PREORDER
223 	   16.38	   48.21	   4	  3	 11	  179.95	  189.95	  269.95	  279.95	PREORDER
225 	   16.39	   48.22	   5	 11	 13	  113.11	  123.11	  203.11	  213.11	PREORDER
242 	   16.39	   48.24	   1	  9	 13	  119.78	  129.78	  209.78	  219.78	PREORDER
276 	   16.38	   48.22	   1	 18	 16	  111.32	  121.32	  201.32	  211.32	PREORDER
337 	   16.43	   48.21	   4	 13	 14	   60.00	   69.27	  143.46	  152.74	PREORDER

Day 1:
# Requirements num: 16 (Preorder: 14, Stochastic: 2)
22  	   16.43	   48.20	   1	  9	 13	  402.89	  410.60	  472.29	  480.00	PREORDER
37  	   16.37	   48.21	   1	 12	 14	  182.54	  192.54	  272.54	  282.54	PREORDER
53  	   16.39	   48.24	   1	 11	 13	  118.88	  128.88	  208.88	  218.88	PREORDER
65  	   16.39	   48.19	   1	  4	 11	  324.94	  334.94	  414.94	  424.94	PREORDER
69  	   16.37	   48.21	   1	  7	 12	  183.75	  193.75	  273.75	  283.75	PREORDER
73  	   16.39	   48.20	   1	  5	 11	  391.12	  400.00	  471.11	  480.00	PREORDER
96  	   16.43	   48.20	   1	 15	 15	  404.52	  412.07	  472.45	  480.00	PREORDER
134 	   16.43	   48.19	   1	 16	 15	  404.31	  411.88	  472.43	  480.00	PREORDER
144 	   16.38	   48.21	   2	  9	 13	  180.94	  190.94	  270.94	  280.94	PREORDER
192 	   16.41	   48.21	   1	 14	 14	   60.00	   68.75	  138.77	  147.52	PREORDER
225 	   16.39	   48.22	   1	  9	 13	  113.11	  123.11	  203.11	  213.11	PREORDER
256 	   16.36	   48.21	   1	 12	 14	  254.96	  264.96	  344.96	  354.96	PREORDER
276 	   16.38	   48.22	   1	 11	 13	  111.32	  121.32	  201.32	  211.32	PREORDER
337 	   16.43	   48.21	   4	 11	 13	   60.00	   69.27	  143.46	  152.74	PREORDER
343 	   16.41	   48.20	   2	  7	 12	  398.79	  406.92	  471.88	  480.00	STOCHASTIC
394 	   16.44	   48.19	   1	  5	 11	  408.04	  415.23	  472.80	  480.00	STOCHASTIC

Day 2:
# Requirements num: 13 (Preorder: 11, Stochastic: 2)
16  	   16.37	   48.19	   4	 13	 14	  256.49	  266.49	  346.49	  356.49	PREORDER
65  	   16.39	   48.19	   1	 22	 17	  324.94	  334.94	  414.94	  424.94	PREORDER
69  	   16.37	   48.21	   1	 12	 14	  183.75	  193.75	  273.75	  283.75	STOCHASTIC
92  	   16.39	   48.24	   1	  3	 11	  120.06	  130.06	  210.06	  220.06	PREORDER
96  	   16.43	   48.20	   1	 17	 15	  404.52	  412.07	  472.45	  480.00	STOCHASTIC
134 	   16.43	   48.19	   1	  4	 11	  404.31	  411.88	  472.43	  480.00	PREORDER
221 	   16.40	   48.23	   1	 13	 14	  117.23	  127.23	  207.23	  217.23	PREORDER
223 	   16.38	   48.21	   1	  3	 11	  179.95	  189.95	  269.95	  279.95	PREORDER
242 	   16.39	   48.24	   1	  9	 13	  119.78	  129.78	  209.78	  219.78	PREORDER
273 	   16.37	   48.20	   1	  6	 12	  255.33	  265.33	  345.33	  355.33	PREORDER
276 	   16.38	   48.22	   1	 18	 16	  111.32	  121.32	  201.32	  211.32	PREORDER
310 	   16.41	   48.19	   1	 11	 13	  399.28	  407.35	  471.93	  480.00	PREORDER
343 	   16.41	   48.20	   1	 10	 13	  398.79	  406.92	  471.88	  480.00	PREORDER

