# Hospital: Wilhelminenspital
# Generated: 2026-01-06 15:41:40
# Customers: 57, Caregivers: 12

# Caregiver Parameters
Daily_Working_Time     : 480
Max_Overtime           : 120
Max_Working_Time       : 2160
Max_Working_Days       : 4
Service_Caregiver_Num  : 4
Capacity               : 200
Speed                  : 0.5
continuity_benefit     : 15
Benefit_Rate(qua+2)    : 3
Unknown_Rate           : 0.2

# Caregiver-Customer Benefit Matrix
      6.00       INF       INF       INF       INF       INF
      9.00     12.00       INF       INF       INF       INF
     12.00     15.00     18.00       INF       INF       INF
     15.00     18.00     21.00     24.00       INF       INF
       INF       INF     24.00     27.00     30.00       INF
       INF       INF     27.00     30.00     33.00     36.00

# Caregiver Individual Info
ID	Qual_Level	Initial_Cost	Overtime_Cost
0	5	200.00	40.69
1	4	180.00	35.03
2	4	180.00	34.76
3	4	180.00	33.79
4	4	180.00	34.76
5	2	140.00	30.26
6	3	160.00	30.76
7	1	120.00	27.44
8	3	160.00	28.94
9	3	160.00	28.02
10	2	140.00	30.75
11	1	120.00	23.06

# Requests Info
ID	X	Y	Qual	Dur	Dem	E_hard	E_soft	L_soft	L_hard	Type
depot:	16.32	48.21
Day 0:
# Requirements num: 32 (Preorder: 25, Stochastic: 7)
11  	   16.29	   48.20	   1	 11	 13	  255.30	  265.30	  345.30	  355.30	PREORDER
14  	   16.27	   48.24	   1	 11	 13	  192.19	  202.19	  282.19	  292.19	PREORDER
18  	   16.33	   48.21	   1	 13	 14	  392.42	  401.18	  471.24	  480.00	PREORDER
30  	   16.27	   48.22	   1	 14	 14	  189.31	  199.31	  279.31	  289.31	PREORDER
32  	   16.27	   48.22	   1	 11	 13	  188.28	  198.28	  278.28	  288.28	STOCHASTIC
35  	   16.29	   48.21	   4	  9	 13	  185.09	  195.09	  275.09	  285.09	PREORDER
44  	   16.30	   48.23	   2	  9	 13	  184.54	  194.54	  274.54	  284.54	PREORDER
48  	   16.26	   48.22	   1	  8	 12	  192.02	  202.02	  282.02	  292.02	PREORDER
90  	   16.30	   48.20	   1	 13	 14	  253.24	  263.24	  343.24	  353.24	PREORDER
107 	   16.31	   48.21	   1	  4	 11	  319.72	  329.72	  409.72	  419.72	PREORDER
109 	   16.27	   48.28	   1	 17	 15	  198.10	  208.10	  288.10	  298.10	STOCHASTIC
