# Wilhelminenspital Instance ID Mapping
# Original ID (from random01.conf) -> New ID (used in experiment results)
# Instance: PeriodicHHC_Wilhelminenspital_P3_Cl57_C12_ur0.2_3147.txt
#==================================================

Original_ID	New_ID
11	1 1-STOCHASTIC
14	2
18	3
26	4
30	5
32	6  0-STOCHASTIC
35	7
44	8 1-STOCHASTIC
48	9 2-STOCHASTIC
62	10
75	11
81	12 2-STOCHASTIC
88	13 2-STOCHASTIC
90	14
100	15
107	16
109	17 0-STOCHASTIC
111	18 0-STOCHASTIC
115	19
119	20
125	21 1-STOCHASTIC
127	22
132	23
142	24
164	25
184	26
198	27
202	28
204	29
215	30
235	31
246	32
250	33
268	34
277	35 0-STOCHASTIC
279	36
291	37
295	38
303	39 1-STOCHASTIC
314	40 0-STOCHASTIC
332	41
334	42
336	43 1-STOCHASTIC
339	44 1-STOCHASTIC, 2-STOCHASTIC
345	45
347	46 0-STOCHASTIC
361	47
364	48
371	49
373	50
379	51
381	52
385	53
392	54
400	55 0-STOCHASTIC
406	56
415	57 1-STOCHASTIC

# Reverse mapping (New_ID -> Original_ID)
New_ID	Original_ID
1	11
2	14
3	18
4	26
5	30
6	32
7	35
8	44
9	48
10	62
11	75
12	81
13	88
14	90
15	100
16	107
17	109
18	111
19	115
20	119
21	125
22	127
23	132
24	142
25	164
26	184
27	198
28	202
29	204
30	215
31	235
32	246
33	250
34	268
35	277
36	279
37	291
38	295
39	303
40	314
41	332
42	334
43	336
44	339
45	345
46	347
47	361
48	364
49	371
50	373
51	379
52	381
53	385
54	392
55	400
56	406
57	415
